workload_id,lane,equations,multiplications,witnesses,max_degree,representation,evidence
and.n16.mixed,M-SPEC,1,15,0,16,single_polynomial_expression,E1 transcription
and.n16.mixed,G-FIELD-NAIVE,1,16,0,2,single_polynomial_expression,E1 transcription
and.n16.mixed,D-NOWRAP,32,16,31,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
and.n16.mixed,D-BOOLGRAPH,79,78,47,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
and.n16.mixed,C-AIR,16,0,0,1,optimized_conjunction_constraints,E1 conventional baseline model
or.n16.mixed,M-SPEC,1,0,0,1,single_polynomial_expression,E1 transcription
or.n16.mixed,G-FIELD-NAIVE,1,31,0,32,single_polynomial_expression,E1 transcription
or.n16.mixed,D-NOWRAP,32,31,31,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
or.n16.mixed,D-BOOLGRAPH,79,78,47,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
or.n16.mixed,C-AIR,79,78,47,2,materialized_boolean_graph,E1 conventional baseline model
and.n64.mixed,M-SPEC,1,63,0,64,single_polynomial_expression,E1 transcription
and.n64.mixed,G-FIELD-NAIVE,1,64,0,2,single_polynomial_expression,E1 transcription
and.n64.mixed,D-NOWRAP,128,64,127,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
and.n64.mixed,D-BOOLGRAPH,319,318,191,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
and.n64.mixed,C-AIR,64,0,0,1,optimized_conjunction_constraints,E1 conventional baseline model
or.n64.mixed,M-SPEC,1,0,0,1,single_polynomial_expression,E1 transcription
or.n64.mixed,G-FIELD-NAIVE,1,127,0,128,single_polynomial_expression,E1 transcription
or.n64.mixed,D-NOWRAP,128,127,127,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
or.n64.mixed,D-BOOLGRAPH,319,318,191,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
or.n64.mixed,C-AIR,319,318,191,2,materialized_boolean_graph,E1 conventional baseline model
and.n256.mixed,M-SPEC,1,255,0,256,single_polynomial_expression,E1 transcription
and.n256.mixed,G-FIELD-NAIVE,1,256,0,2,single_polynomial_expression,E1 transcription
and.n256.mixed,D-NOWRAP,512,256,511,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
and.n256.mixed,D-BOOLGRAPH,1279,1278,767,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
and.n256.mixed,C-AIR,256,0,0,1,optimized_conjunction_constraints,E1 conventional baseline model
or.n256.mixed,M-SPEC,1,0,0,1,single_polynomial_expression,E1 transcription
or.n256.mixed,G-FIELD-NAIVE,1,511,0,512,single_polynomial_expression,E1 transcription
or.n256.mixed,D-NOWRAP,512,511,511,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
or.n256.mixed,D-BOOLGRAPH,1279,1278,767,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
or.n256.mixed,C-AIR,1279,1278,767,2,materialized_boolean_graph,E1 conventional baseline model
